,companyCd,companyNm,companyNmEn,companyPartNm,movieCd
0,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",제작사,20030410
1,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",배급사,20030410
2,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",해외세일즈사,20030410
3,20110335,㈜블루캡,BLUECAP,제작서비스-사운드,20030410
4,20110377,세방현상(주),SEBANG FILM LABORATORY CO.LTD.,제작서비스-현상,20030410
5,20124835,빔필름 (엠버에이치엠 국내법인),VIMFILM,프로덕션 서비스,20030410
0,20100043,워너브러더스 코리아(주),Warner Bros. Korea,배급사,20030316
1,20100109,씨제이엔터테인먼트,CJ Entertainment,배급사,20030316
2,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,20030316
3,20100947,(주)태원엔터테인먼트,TAEWON ENTERTAINMENT,수입사,20030316
0,20100294,(주)영화사샘,Sam,제작사,20030420
1,20100103,(주)쇼박스,Showbox Corp,제작사,20030420
2,20100103,(주)쇼박스,Showbox Corp,배급사,20030420
3,20100103,(주)쇼박스,Showbox Corp,해외세일즈사,20030420
4,20110377,세방현상(주),SEBANG FILM LABORATORY CO.LTD.,제작서비스-현상,20030420
0,20161101,(주)제이앤씨미디어그룹,,배급사,20030404
1,20141088,와이드 릴리즈(주),Wide Release,배급사,20030404
2,20100649,UIP코리아,United International Pictures Korea,배급사,20030404
3,20142369,(유)조이앤시네마,JOY N CINEMA,배급사,20030404
4,20142369,(유)조이앤시네마,JOY N CINEMA,수입사,20030404
5,20100649,UIP코리아,United International Pictures Korea,수입사,20030404
6,20231282,허스키,HUSKY,수입사,20030404
0,20100109,씨제이엔터테인먼트,CJ Entertainment,배급사,20030426
1,20100109,씨제이엔터테인먼트,CJ Entertainment,수입사,20030426
0,20100197,(주)에그필름,"EGGFILM.Co.,Ltd",제작사,20030350
1,20100269,쇼이스트(주),"ShowEast Co., Ltd.",제작사,20030350
2,20100269,쇼이스트(주),"ShowEast Co., Ltd.",배급사,20030350
3,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사,20030350
4,20100269,쇼이스트(주),"ShowEast Co., Ltd.",제공,20030350
5,20100516,씨네클릭 아시아(팬텀),"Cineclick Asia(Fantom co.,Ltd)",공동제공,20030350
6,20100516,씨네클릭 아시아(팬텀),"Cineclick Asia(Fantom co.,Ltd)",해외세일즈사,20030350
7,20141399,(주)포스크리에이티브파티,"4th Creative Party Co., Ltd.",제작서비스-시각효과/특수효과,20030350
8,20110330,웨이브랩 에스티디,WAVELAB STD,프로덕션 서비스,20030350
0,20060480,(주)튜브엔터테인먼트,"Tube Entertainment Co.,Ltd",제작사,20030408
1,20060480,(주)튜브엔터테인먼트,"Tube Entertainment Co.,Ltd",배급사,20030408
2,20061361,소빅창업투자(주),,공동제공,20030408
3,20101104,(주)나이너스엔터테인먼트,9ers Entertainment,해외세일즈사,20030408
4,20110109,고일상사,,제작서비스-사운드,20030408
0,20100043,워너브러더스 코리아(주),Warner Bros. Korea,배급사,20030430
1,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,20030430
0,20100123,(주)싸이더스,Sidus Corporation,제작사,20030433
1,20101683,㈜싸이더스픽쳐스,Sidus Pictures,제작사,20030433
2,20100109,씨제이엔터테인먼트,CJ Entertainment,배급사,20030433
3,20100109,씨제이엔터테인먼트,CJ Entertainment,제공,20030433
4,20100109,씨제이엔터테인먼트,CJ Entertainment,해외세일즈사,20030433
5,20111001,무비클로저,Movie Closer,제작서비스-음악,20030433
0,20100083,제이웰엔터테인먼트(주),JWELL Entertainment,제작사,20030435
1,20030191,(주)포이보스,,제작사,20030435
2,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",배급사,20030435
3,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",해외세일즈사,20030435
4,20110377,세방현상(주),SEBANG FILM LABORATORY CO.LTD.,제작서비스-현상,20030435
0,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,배급사,20040442
1,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,수입사,20040442
0,20100075,쿠앤필름(주),Koo & Film,제작사,20040441
1,20100103,(주)쇼박스,Showbox Corp,배급사,20040441
2,20100158,케이엠컬쳐㈜,"KM Culture Co., Ltd.",해외세일즈사,20040441
0,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,배급사,20030436
1,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,수입사,20030436
0,20100109,씨제이엔터테인먼트,CJ Entertainment,배급사,20040443
1,20100693,파라마운트,,수입사,20040443
0,20100232,우리영화(주),URIFILMS,제작사,20030434
1,20060480,(주)튜브엔터테인먼트,"Tube Entertainment Co.,Ltd",배급사,20030434
2,20101104,(주)나이너스엔터테인먼트,9ers Entertainment,해외세일즈사,20030434
3,20110331,㈜라이브톤,"LIVETONE Co., Ltd Digital Sound Production",제작서비스-사운드,20030434
4,20111031,데몰리션,DEMOLITION STUDIO,제작서비스-시각효과/특수효과,20030434
5,20110377,세방현상(주),SEBANG FILM LABORATORY CO.LTD.,제작서비스-현상,20030434
0,20100281,(주)엠쓰리엔터테인먼트,M3 Entertainment,제작사,20030439
1,20100103,(주)쇼박스,Showbox Corp,배급사,20030439
2,20061361,소빅창업투자(주),,공동제공,20030439
3,20100103,(주)쇼박스,Showbox Corp,해외세일즈사,20030439
4,20110363,서울영상위원회,Seoul Film Commission,제작서비스-로케이션,20030439
0,20101507,이십세기폭스필름코퍼레이션,20th Century Fox Film Corporation,배급사,20030437
1,20101507,이십세기폭스필름코퍼레이션,20th Century Fox Film Corporation,수입사,20030437
0,20100546,강제규필름,KangJeGyu Films,제작사,20030371
1,20161101,(주)제이앤씨미디어그룹,,배급사,20030371
2,20141088,와이드 릴리즈(주),Wide Release,배급사,20030371
3,20158228,(주)다자인소프트,,배급사,20030371
4,20100103,(주)쇼박스,Showbox Corp,배급사,20030371
5,20138477,(주)빅픽쳐,,제공,20030371
6,20239668,주식회사 콘텐츠존,Contentszone,제공,20030371
7,20100103,(주)쇼박스,Showbox Corp,제공,20030371
8,20111553,(주)케이제이네트,KJ-net,프로덕션 서비스,20030371
0,20100060,코리아픽쳐스(주),Korea Pictures,배급사,20030206
1,20100060,코리아픽쳐스(주),Korea Pictures,수입사,20030206
0,20100043,워너브러더스 코리아(주),Warner Bros. Korea,배급사,20040467
1,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,20040467
0,20101507,이십세기폭스필름코퍼레이션,20th Century Fox Film Corporation,배급사,20040460
1,20101507,이십세기폭스필름코퍼레이션,20th Century Fox Film Corporation,수입사,20040460
0,20100109,씨제이엔터테인먼트,CJ Entertainment,배급사,20040459
1,20100947,(주)태원엔터테인먼트,TAEWON ENTERTAINMENT,수입사,20040459
0,20100649,UIP코리아,United International Pictures Korea,배급사,20040451
1,20100649,UIP코리아,United International Pictures Korea,수입사,20040451
0,20100529,(주)토토엔터테인먼트,ToTo Entertainment,제작사,20040463
1,20101727,콜럼비아트라이스타㈜,,배급사,20040463
2,20110329,돌코녹음실,DOLCO,제작서비스-사운드,20040463
0,20100631,(주)영화사 진진,JINJIN Pictures,배급사,20030440
1,20100251,인터비스앤파트너스(주),,배급사,20030440
2,20100631,(주)영화사 진진,JINJIN Pictures,수입사,20030440
3,20100209,(주)스폰지이엔티,Sponge Ent. Inc.,수입사,20030440
0,20100167,기획시대(주),KiHweck ShiDae ,제작사,20030413
1,20100060,코리아픽쳐스(주),Korea Pictures,배급사,20030413
2,20103809,(주)미로비젼,Mirovision Inc. ,해외세일즈사,20030413
3,20139475,유영분장,Yuyoung Makeup,제작서비스-분장/헤어,20030413
0,20100556,㈜영화사시선,Seasun Film Company,제작사,20040446
1,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",배급사,20040446
2,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",해외세일즈사,20040446
3,20110377,세방현상(주),SEBANG FILM LABORATORY CO.LTD.,제작서비스-현상,20040446
0,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,배급사,20040461
1,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,수입사,20040461
0,20101771,아메리칸조이트로프,American Zoetrope,제작사,20040476
1,20100109,씨제이엔터테인먼트,CJ Entertainment,배급사,20040476
2,20100109,씨제이엔터테인먼트,CJ Entertainment,수입사,20040476
0,20104469,파라마운트 픽쳐스,Paramount Pictures,제작사,20040448
1,20060480,(주)튜브엔터테인먼트,"Tube Entertainment Co.,Ltd",배급사,20040448
2,20100230,몽타쥬엔터테인먼트(주),,수입사,20040448
0,20173461,윤스,YOONS,배급사,20040447
1,20100649,UIP코리아,United International Pictures Korea,배급사,20040447
2,20063058,(주)피터팬픽쳐스,Peterpan Pictures,수입사,20040447
3,20100649,UIP코리아,United International Pictures Korea,수입사,20040447
0,20100250,무비즈엔터테인먼트㈜,Movies Entertainment,배급사,20040464
1,20100129,케인컴(주),,수입사,20040464
0,20100078,(주)김기덕 필름,Kim Ki Duk Film,제작사,20040505
1,20100269,쇼이스트(주),"ShowEast Co., Ltd.",배급사,20040505
2,20100269,쇼이스트(주),"ShowEast Co., Ltd.",제공,20040505
3,20100516,씨네클릭 아시아(팬텀),"Cineclick Asia(Fantom co.,Ltd)",해외세일즈사,20040505
4,20110377,세방현상(주),SEBANG FILM LABORATORY CO.LTD.,제작서비스-현상,20040505
0,20101340,더 자눅 컴퍼니,The Zanuck Company,제작사,20040462
1,20101729,콜럼비아트라이스타픽쳐스,,제작사,20040462
2,20102756,코헨 프로덕션,Cohen Productions,제작사,20040462
3,20122837,(주)팝엔터테인먼트,Pop Entertainment,배급사,20040462
4,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,배급사,20040462
5,20187181,(주)제이브로,jbro.co.ltd,수입사,20040462
6,20204941,포레스트,,수입사,20040462
7,20101728,콜럼비아트라이스타영화㈜,,수입사,20040462
0,20104369,미라맥스 필름즈,Miramax Films,제작사,20040479
1,20100103,(주)쇼박스,Showbox Corp,배급사,20040479
2,20100103,(주)쇼박스,Showbox Corp,수입사,20040479
0,20103697,프랑스2시네마,France 2 Cinema,제작사,20040465
1,20101289,스튜디오 카날,Studio Canal,제작사,20040465
2,20100300,(주)엔터모드,,배급사,20040465
3,20100300,(주)엔터모드,,수입사,20040465
0,20100628,㈜제니스엔터테인먼트,,제작사,20040471
1,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",배급사,20040471
2,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",해외세일즈사,20040471
3,20110446,(사)부산영상위원회,Busan Film Commission,제작서비스-촬영,20040471
4,20110635,게릴라미디어(주),,제작서비스-시각효과/특수효과,20040471
0,20100555,(주)씨케이픽쳐스,"CK Pictues Co., Ltd. ",제작사,20040456
1,20100109,씨제이엔터테인먼트,CJ Entertainment,배급사,20040456
2,20100109,씨제이엔터테인먼트,CJ Entertainment,해외세일즈사,20040456
3,20100548,영화진흥위원회,Korean Film Council (KOFIC),제작서비스-사운드,20040456
4,20110377,세방현상(주),SEBANG FILM LABORATORY CO.LTD.,제작서비스-현상,20040456
0,20101718,알파빌필름즈,Alphaville Films,제작사,20040512
1,20060480,(주)튜브엔터테인먼트,"Tube Entertainment Co.,Ltd",배급사,20040512
2,20100230,몽타쥬엔터테인먼트(주),,수입사,20040512
0,20101193,레볼루션 스튜디오,Revolution Studios,제작사,20040509
1,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,배급사,20040509
2,20101728,콜럼비아트라이스타영화㈜,,수입사,20040509
0,20101743,터치스톤 픽처스,,제작사,20040519
1,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,배급사,20040519
2,20060452,월트디즈니컴퍼니코리아(주),The Walt Disney Company Korea,수입사,20040519
0,20100694,드림웍스픽쳐스,,제작사,20040513
1,20100109,씨제이엔터테인먼트,CJ Entertainment,배급사,20040513
2,20100109,씨제이엔터테인먼트,CJ Entertainment,수입사,20040513
0,20100518,코리아 엔터테인먼트,Corea Entertainment ,제작사,20040482
1,20100109,씨제이엔터테인먼트,CJ Entertainment,배급사,20040482
2,20100109,씨제이엔터테인먼트,CJ Entertainment,제공,20040482
3,20100109,씨제이엔터테인먼트,CJ Entertainment,해외세일즈사,20040482
4,20111001,무비클로저,Movie Closer,제작서비스-음악,20040482
5,20110377,세방현상(주),SEBANG FILM LABORATORY CO.LTD.,제작서비스-현상,20040482
0,20100584,(주)황기성 사단,HwangKiSung Films,제작사,20040496
1,20100351,(주)조이슈즈,Joy shoes,제작사,20040496
2,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",배급사,20040496
